E780,E660,E785,E116,I10X
91,72,62,89,60
61,58,38,55,61
86,79,56,55,57
62,79,74,59,37
70,62,58,68,83
78,86,89,63,53
84,49,91,67,72
66,44,61,51,77
54,58,58,58,58
88,58,79,70,54
62,56,81,61,80
57,75,38,76,55
66,69,71,76,59
60,56,85,70,75
52,65,81,70,79
44,61,68,73,72
65,54,62,75,68
63,57,60,48,52
82,70,73,49,47
72,48,63,71,67
53,66,56,80,47
72,36,69,92,68
62,59,60,65,47
44,63,42,61,33
45,63,78,75,66
61,63,60,71,64
83,59,94,73,50
63,51,41,56,66
52,57,53,89,55
80,67,58,40,63
60,68,77,85,53
74,69,43,80,74
77,38,56,73,45
59,46,75,79,46
78,68,44,86,24
80,68,76,52,94
53,75,61,38,38
48,63,56,68,59
79,74,78,77,48
61,78,60,68,82
77,32,64,60,46
62,65,55,58,63
85,73,54,81,53
60,50,67,77,62
62,66,85,85,76
83,56,66,69,69
66,59,88,68,77
73,60,79,75,40
58,65,65,73,78
78,63,89,66,52
88,57,55,89,78
83,61,82,70,83
76,66,75,78,50
85,74,78,63,73
64,61,66,72,55
82,67,68,64,75
61,67,87,89,80
63,64,94,68,40
77,63,65,78,65
50,62,77,71,53
55,60,61,61,83
60,91,51,75,77
81,66,64,85,66
61,59,75,83,44
75,78,78,77,70
84,57,84,66,31
60,77,79,39,45
50,49,83,87,77
60,63,77,77,59
83,54,86,65,62
74,70,76,57,68
85,81,67,74,27
57,82,52,61,74
53,59,79,69,85
82,81,63,76,44
76,67,73,48,80
77,78,59,65,83
62,74,77,69,85
60,43,75,64,67
92,60,61,66,89
68,54,60,82,53
56,68,83,83,86
71,61,57,84,52
67,48,54,62,79
56,57,49,88,50
51,73,59,54,65
67,68,82,78,62
71,77,54,67,49
85,57,59,53,65
53,61,62,71,64
50,72,40,57,38
87,53,81,58,80
89,83,79,81,82
84,48,72,83,33
76,79,65,65,52
70,36,64,87,89
78,64,69,73,79
78,80,63,67,42
68,83,43,70,84
79,42,55,70,79
71,45,86,88,87
75,69,62,65,70
57,67,80,67,61
70,52,54,56,42
64,63,87,57,38
94,51,41,60,45
61,48,72,71,83
74,71,68,55,61
62,66,66,71,52
93,69,81,67,75
65,58,59,57,62
56,62,78,77,72
49,55,61,70,44
62,25,86,77,63
80,71,59,77,92
71,71,71,70,41
78,53,65,51,61
66,79,49,82,72
78,80,86,66,69
66,75,53,63,50
81,77,63,77,74
91,66,65,61,44
55,79,57,84,90
68,82,50,88,50
72,65,83,52,74
64,68,44,65,71
79,66,79,91,85
58,89,80,76,66
83,75,70,59,68
75,66,58,78,60
85,61,27,67,90
65,72,65,67,64
57,74,76,45,83
52,72,76,76,32
88,61,74,93,84
69,87,73,62,40
55,54,65,57,72
61,64,79,68,48
62,69,60,62,35
76,75,76,64,66
74,74,61,61,62
66,73,80,63,38
86,59,44,72,24
76,87,75,77,84
79,65,77,79,46
71,61,53,67,63
81,49,75,53,60
71,77,51,64,26
57,72,51,67,62
83,82,69,62,46
72,78,60,50,79
80,38,62,86,28
94,56,72,71,44
56,85,42,74,57
