HYPERTENSION,DIABETES,HIGH CHOLESTEROL,OBESITY,RENAL
89,73,83,66,59
57,80,53,56,72
62,81,83,65,64
60,69,77,73,97
76,81,77,65,54
79,76,73,79,70
62,74,60,92,76
80,42,86,44,80
48,74,74,39,68
60,77,73,38,58
54,67,65,57,84
78,75,87,74,80
81,88,75,52,62
38,71,72,82,55
53,58,81,65,65
47,53,70,82,51
34,60,51,70,86
68,69,45,73,82
67,80,88,68,80
37,57,62,44,88
75,57,66,44,69
78,58,47,85,68
35,76,63,64,54
41,77,60,65,78
74,73,80,63,68
48,68,69,68,91
52,72,95,76,84
26,78,66,15,82
59,70,93,64,82
73,55,69,60,94
48,76,69,55,74
70,78,53,46,58
55,77,70,65,79
56,82,61,77,43
51,58,51,72,76
93,81,51,66,58
40,78,61,85,70
94,87,62,63,81
18,63,54,65,72
90,59,74,81,58
53,65,42,82,78
85,57,63,63,47
66,63,55,43,59
78,67,70,25,72
46,85,82,86,59
74,59,70,51,43
63,65,78,62,96
68,90,41,59,84
83,62,82,91,41
55,66,62,76,98
61,77,91,82,73
61,65,46,56,47
87,72,75,92,43
42,76,82,69,77
64,70,58,93,79
69,84,62,60,68
49,58,61,70,67
75,73,82,54,58
95,79,69,61,58
73,82,78,90,82
69,90,70,27,62
39,58,51,67,79
49,65,32,45,94
85,59,80,66,94
85,67,65,39,86
61,60,58,55,80
84,62,92,93,88
64,46,72,75,46
75,58,70,67,86
54,50,74,61,90
75,86,66,74,86
74,86,95,59,59
85,59,58,67,57
29,48,80,66,67
50,57,53,35,57
62,55,43,67,89
68,82,80,70,68
75,74,60,51,82
67,65,76,58,79
71,64,59,55,45
69,62,75,81,79
68,60,60,54,79
71,67,65,61,75
63,59,87,73,85
83,43,60,76,72
75,66,68,70,66
74,88,67,69,82
49,84,65,45,80
89,62,59,75,95
56,55,71,61,65
43,82,72,61,52
75,57,43,52,67
35,73,67,52,56
48,78,42,65,58
74,79,76,59,59
59,52,69,55,65
58,56,62,32,43
62,80,55,40,81
24,80,78,60,77
83,72,77,62,69
87,80,86,46,64
79,39,86,62,85
43,88,63,71,80
78,66,80,81,84
91,67,82,63,68
80,62,80,81,84
72,61,91,68,59
69,78,66,65,50
74,70,60,76,66
90,66,39,58,59
75,49,73,52,86
61,81,66,58,87
78,49,66,70,78
67,63,78,58,80
68,77,59,80,72
62,60,35,55,68
62,79,60,59,80
40,65,59,83,73
93,76,78,74,85
73,67,77,57,65
51,73,56,75,81
56,91,57,71,55
85,81,59,60,56
65,59,69,46,85
18,78,54,65,62
79,55,82,81,78
74,85,65,64,74
73,67,53,55,67
52,75,63,70,90
64,76,83,63,92
60,77,82,51,81
43,74,68,91,74
77,64,53,59,90
65,63,72,80,92
81,70,58,56,76
64,73,66,88,89
86,60,84,48,74
83,67,95,74,90
84,43,74,95,88
72,71,57,84,36
94,58,61,60,71
51,56,75,52,51
57,69,65,45,54
82,58,59,71,73
56,69,70,80,71
59,65,69,78,79
52,61,56,85,83
37,77,74,71,82
62,77,62,64,43
68,59,82,67,64
67,76,62,72,73
62,67,69,74,84
77,70,85,72,68
62,59,47,65,91
65,82,63,59,82
67,60,68,75,69
60,44,78,62,85
52,56,82,57,71
48,78,78,22,46
77,72,53,48,52
67,80,49,50,65
70,67,66,67,74
59,62,52,50,52
71,65,66,71,87
56,59,77,71,74
89,62,57,68,83
61,59,64,60,66
70,74,61,80,75
1,74,58,60,64
65,55,85,52,77
47,57,61,81,62
40,59,87,40,70
37,91,61,57,82
43,55,82,69,89
65,69,55,71,76
62,67,78,80,58
90,78,55,63,76
55,50,73,65,54
86,85,61,83,49
37,38,52,57,81
79,71,69,68,79
62,78,83,69,82
56,51,66,89,55
38,71,81,65,74
45,73,82,51,92
73,92,59,70,77
63,72,76,56,60
75,75,73,66,85
80,78,72,58,72
80,53,55,78,71
62,52,80,69,56
49,87,76,51,72
42,79,78,50,64
41,68,59,66,65
85,71,76,87,70
53,83,56,65,79
61,74,72,42,85
62,71,85,58,92
75,78,78,59,52
61,83,66,51,80
64,59,74,87,74
63,81,47,54,74
86,83,51,82,78
66,75,73,56,73
43,44,66,70,84
83,58,74,74,59
85,59,53,57,74
60,64,69,71,78
47,81,85,79,81
61,79,78,94,77
67,78,53,75,77
25,58,69,60,42
90,60,96,56,42
68,70,60,72,65
79,70,83,86,84
65,90,61,78,88
62,88,80,68,61
44,73,71,53,93
76,79,67,50,74
33,70,65,59,85
66,71,74,75,79
64,76,61,72,57
76,75,55,76,80
84,49,59,68,81
58,75,54,69,58
68,86,54,69,72
87,55,68,54,63
61,74,83,61,71
87,71,64,65,80
77,67,60,40,87
55,68,59,77,87
43,60,49,79,76
75,62,79,75,65
63,69,62,62,71
85,58,81,71,59
63,74,68,54,84
55,48,80,81,56
64,49,68,71,70
88,67,88,49,86
57,65,53,79,73
69,61,66,59,66
57,91,67,56,63
41,88,80,73,53
68,80,54,64,71
76,82,78,65,70
49,63,71,65,65
87,64,78,72,53
91,64,84,50,84
67,69,73,42,91
69,62,66,79,88
74,53,63,56,83
38,76,87,57,63
66,80,65,55,72
65,73,85,53,83
56,60,64,82,52
65,66,62,49,59
72,64,39,66,36
49,72,74,63,91
93,75,61,73,58
69,54,65,60,61
88,66,60,84,87
70,80,60,66,62
77,73,67,62,92
91,59,66,69,85
37,65,42,78,58
83,48,93,59,64
45,88,61,57,56
27,81,59,57,47
45,69,61,32,86
38,60,71,46,35
67,72,68,65,65
58,74,66,79,59
77,64,82,63,68
82,81,57,60,46
67,81,60,60,71
79,73,69,74,69
67,50,54,78,84
65,76,82,54,69
67,60,82,67,49
76,53,60,50,69
87,92,66,77,82
87,76,62,68,88
48,61,91,79,65
56,71,82,52,94
79,62,65,60,78
38,69,66,45,90
63,70,71,51,77
49,55,74,42,62
82,62,71,79,88
63,15,51,55,94
24,67,76,63,79
78,70,72,62,44
68,23,56,55,81
57,67,92,75,58
39,76,61,78,76
53,75,74,70,87
73,62,75,59,82
51,68,88,55,90
75,53,61,58,89
55,56,61,59,70
46,70,76,54,34
83,84,93,54,66
62,37,58,63,66
89,47,82,39,65
69,76,58,74,89
52,58,63,74,91
