year,SEX,Diagnosis_Code,count
2010,MALE,E132,1
2010,MALE,E140,1
2010,MALE,E141,1
2010,MALE,E142,4
2010,MALE,E144,4
2010,MALE,E146,5
2010,MALE,E148,4
2010,MALE,E149,3
2010,MALE,E660,81
2010,MALE,E662,1
2010,MALE,E668,1
2010,MALE,E669,4
2010,MALE,E780,82
2010,MALE,E784,2
2010,MALE,E785,19
2010,MALE,I10X,6
2010,MALE,I120,6
2010,MALE,I129,8
2010,MALE,I158,9
2010,MALE,I159,39
2010,MALE,N159,1
2010,MALE,N179,2
2010,MALE,N180,2
2011,FEMALE,E100,1
2011,FEMALE,E102,1
2011,FEMALE,E103,4
2011,FEMALE,E104,2
2011,FEMALE,E106,2
2011,FEMALE,E110,6
2011,FEMALE,E112,6
2011,FEMALE,E113,1
2011,FEMALE,E114,6
2011,FEMALE,E116,11
2011,FEMALE,E117,1
2011,FEMALE,E121,4
2011,FEMALE,E123,2
2011,FEMALE,E127,2
2011,FEMALE,E128,1
2011,FEMALE,E129,3
2011,FEMALE,E134,1
2011,FEMALE,E138,1
2011,FEMALE,E141,1
2011,FEMALE,E142,1
2011,FEMALE,E144,1
2011,FEMALE,E145,2
2011,FEMALE,E146,6
2011,FEMALE,E148,6
2011,FEMALE,E149,7
2011,FEMALE,E660,175
2011,FEMALE,E661,1
2011,FEMALE,E662,3
2011,FEMALE,E668,1
2011,FEMALE,E669,1
2011,FEMALE,E780,108
2011,FEMALE,E782,2
2011,FEMALE,E784,1
2011,FEMALE,E785,41
2011,FEMALE,I10X,1
2011,FEMALE,I120,5
2011,FEMALE,I129,8
2011,FEMALE,I158,5
2011,FEMALE,I159,26
2011,FEMALE,N159,2
2011,FEMALE,N179,2
2011,FEMALE,N188,3
2011,MALE,E101,1
2011,MALE,E103,4
2011,MALE,E107,1
2011,MALE,E110,3
2011,MALE,E111,1
2011,MALE,E112,4
2011,MALE,E113,3
2011,MALE,E114,8
2011,MALE,E116,8
2011,MALE,E117,2
2011,MALE,E122,1
2011,MALE,E123,1
2011,MALE,E125,3
2011,MALE,E127,1
2011,MALE,E128,1
2011,MALE,E129,4
2011,MALE,E133,1
2011,MALE,E136,2
2011,MALE,E138,2
2011,MALE,E141,2
2011,MALE,E142,1
2011,MALE,E144,2
2011,MALE,E146,1
2011,MALE,E148,6
2011,MALE,E149,3
2011,MALE,E660,81
2011,MALE,E668,3
2011,MALE,E669,2
2011,MALE,E780,78
2011,MALE,E782,1
2011,MALE,E784,3
2011,MALE,E785,34
2011,MALE,I10X,1
2011,MALE,I120,5
2011,MALE,I129,14
2011,MALE,I151,1
2011,MALE,I158,5
2011,MALE,I159,9
2011,MALE,N172,1
2011,MALE,N179,4
2011,MALE,N180,3
2011,MALE,N188,4
2011,MALE,O102,1
2012,FEMALE,E100,1
2012,FEMALE,E101,2
2012,FEMALE,E102,1
2012,FEMALE,E103,5
2012,FEMALE,E107,2
2012,FEMALE,E110,2
2012,FEMALE,E112,7
2012,FEMALE,E113,8
2012,FEMALE,E114,8
2012,FEMALE,E116,17
2012,FEMALE,E117,1
2012,FEMALE,E119,1
2012,FEMALE,E120,1
2012,FEMALE,E121,2
2012,FEMALE,E123,2
2012,FEMALE,E124,1
2012,FEMALE,E127,3
2012,FEMALE,E128,1
2012,FEMALE,E129,5
2012,FEMALE,E132,1
2012,FEMALE,E133,1
2012,FEMALE,E134,2
2012,FEMALE,E136,3
2012,FEMALE,E138,2
2012,FEMALE,E142,5
2012,FEMALE,E143,1
2012,FEMALE,E145,3
2012,FEMALE,E146,5
2012,FEMALE,E148,8
2012,FEMALE,E149,14
2012,FEMALE,E660,182
2012,FEMALE,E661,3
2012,FEMALE,E662,3
2012,FEMALE,E668,2
2012,FEMALE,E669,4
2012,FEMALE,E780,154
2012,FEMALE,E782,2
2012,FEMALE,E784,1
2012,FEMALE,E785,27
2012,FEMALE,I10X,1
2012,FEMALE,I120,10
2012,FEMALE,I129,6
2012,FEMALE,I151,1
2012,FEMALE,I152,1
2012,FEMALE,I158,4
2012,FEMALE,I159,10
2012,FEMALE,N159,2
2012,FEMALE,N179,2
2012,FEMALE,N188,2
2012,FEMALE,O102,1
2012,MALE,E102,1
2012,MALE,E103,5
2012,MALE,E112,3
2012,MALE,E113,3
2012,MALE,E114,16
2012,MALE,E116,7
2012,MALE,E117,1
2012,MALE,E118,2
2012,MALE,E121,3
2012,MALE,E127,1
2012,MALE,E129,6
2012,MALE,E131,1
2012,MALE,E132,1
2012,MALE,E135,1
2012,MALE,E136,3
2012,MALE,E138,2
2012,MALE,E140,1
2012,MALE,E141,1
2012,MALE,E142,2
2012,MALE,E145,2
2012,MALE,E146,19
2012,MALE,E148,4
2012,MALE,E149,11
2012,MALE,E660,82
2012,MALE,E661,1
2012,MALE,E662,1
2012,MALE,E668,5
2012,MALE,E669,2
2012,MALE,E780,121
2012,MALE,E782,2
2012,MALE,E784,2
2012,MALE,E785,32
2012,MALE,I10X,2
2012,MALE,I120,16
2012,MALE,I129,11
2012,MALE,I158,3
2012,MALE,I159,4
2012,MALE,N159,3
2012,MALE,N179,5
2012,MALE,N180,2
2012,MALE,N188,1
2012,MALE,O102,1
2013,FEMALE,E100,1
2013,FEMALE,E104,3
2013,FEMALE,E107,7
2013,FEMALE,E110,3
2013,FEMALE,E111,1
2013,FEMALE,E112,3
2013,FEMALE,E113,2
2013,FEMALE,E114,8
2013,FEMALE,E116,11
2013,FEMALE,E117,1
2013,FEMALE,E118,1
2013,FEMALE,E120,3
2013,FEMALE,E122,1
2013,FEMALE,E127,1
2013,FEMALE,E128,4
2013,FEMALE,E129,1
2013,FEMALE,E132,1
2013,FEMALE,E134,1
2013,FEMALE,E136,3
2013,FEMALE,E141,1
2013,FEMALE,E142,1
2013,FEMALE,E145,4
